Fecha,Ubicacion,Local,Resultado,Visitante,year
"12 de enero de 2021, 21:30 (UTC-3)",São Paulo,Palmeiras,0:2,River Plate,2020
"30 de enero de 2021, 17:00 (UTC-3)",Río de Janeiro,Palmeiras,1:0,Santos,2020
21 de abril,Lima,Universitario,2:3,Palmeiras,2021
21 de abril,Quito,Independiente del Valle,1:1,Defensa y Justicia,2021
27 de abril,São Paulo,Palmeiras,5:0,Independiente del Valle,2021
28 de abril,Gobernador Costa,Defensa y Justicia,3:0,Universitario,2021
4 de mayo,Gobernador Costa,Defensa y Justicia,1:2,Palmeiras,2021
5 de mayo,Quito,Independiente del Valle,4:0,Universitario,2021
11 de mayo,Quito,Independiente del Valle,0:1,Palmeiras,2021
12 de mayo,Lima,Universitario,1:1,Defensa y Justicia,2021
18 de mayo,São Paulo,Palmeiras,3:4,Defensa y Justicia,2021
18 de mayo,Lima,Universitario,3:2,Independiente del Valle,2021
27 de mayo,Gobernador Costa,Defensa y Justicia,1:1,Independiente del Valle,2021
27 de mayo,São Paulo,Palmeiras,6:0,Universitario,2021
20 de abril,San Cristóbal,Deportivo Táchira,3:2,Olimpia,2021
20 de abril,La Paz,Always Ready,2:0,Internacional,2021
27 de abril,Porto Alegre,Internacional,4:0,Deportivo Táchira,2021
28 de abril,Asunción,Olimpia,2:1,Always Ready,2021
5 de mayo,Porto Alegre,Internacional,6:1,Olimpia,2021
6 de mayo,La Paz,Always Ready,2:0,Deportivo Táchira,2021
11 de mayo,San Cristóbal,Deportivo Táchira,2:1,Internacional,2021
13 de mayo,La Paz,Always Ready,1:2,Olimpia,2021
19 de mayo,San Cristóbal,Deportivo Táchira,7:2,Always Ready,2021
20 de mayo,Asunción,Olimpia,0:1,Internacional,2021
26 de mayo,Asunción,Olimpia,6:2,Deportivo Táchira,2021
26 de mayo,Porto Alegre,Internacional,0:0,Always Ready,2021
20 de abril,Santos,Santos,0:2,Barcelona,2021
21 de abril,La Paz,The Strongest,0:1,Boca Juniors,2021
27 de abril,Buenos Aires,Boca Juniors,2:0,Santos,2021
28 de abril,Guayaquil,Barcelona,4:0,The Strongest,2021
4 de mayo,Santos,Santos,5:0,The Strongest,2021
4 de mayo,Guayaquil,Barcelona,1:0,Boca Juniors,2021
11 de mayo,La Paz,The Strongest,2:0,Barcelona,2021
11 de mayo,Santos,Santos,1:0,Boca Juniors,2021
18 de mayo,La Paz,The Strongest,2:1,Santos,2021
20 de mayo,Buenos Aires,Boca Juniors,0:0,Barcelona,2021
26 de mayo,Guayaquil,Barcelona,3:1,Santos,2021
26 de mayo,Buenos Aires,Boca Juniors,3:0,The Strongest,2021
22 de abril,Río de Janeiro,Fluminense,1:1,River Plate,2021
22 de abril,Barranquilla,Junior,1:1,Santa Fe,2021
28 de abril,Buenos Aires,River Plate,2:1,Junior,2021
28 de abril,Armenia,Santa Fe,1:2,Fluminense,2021
6 de mayo,Guayaquil[n. 4]​,Junior,1:1,Fluminense,2021
6 de mayo,Asunción[n. 5]​,Santa Fe,0:0,River Plate,2021
12 de mayo,Río de Janeiro,Fluminense,2:1,Santa Fe,2021
12 de mayo,Barranquilla,Junior,1:1,River Plate,2021
18 de mayo,Río de Janeiro,Fluminense,1:2,Junior,2021
19 de mayo,Buenos Aires,River Plate,2:1,Santa Fe,2021
25 de mayo,Buenos Aires,River Plate,1:3,Fluminense,2021
25 de mayo,Ambato[n. 6]​,Santa Fe,0:0,Junior,2021
20 de abril,Lima,Sporting Cristal,0:3,São Paulo,2021
21 de abril,Montevideo,Rentistas,1:1,Racing Club,2021
29 de abril,Avellaneda,Racing Club,2:1,Sporting Cristal,2021
29 de abril,São Paulo,São Paulo,2:0,Rentistas,2021
5 de mayo,Avellaneda,Racing Club,0:0,São Paulo,2021
5 de mayo,Montevideo,Rentistas,0:0,Sporting Cristal,2021
11 de mayo,Lima,Sporting Cristal,0:2,Racing Club,2021
12 de mayo,Montevideo,Rentistas,1:1,São Paulo,2021
18 de mayo,São Paulo,São Paulo,0:1,Racing Club,2021
19 de mayo,Lima,Sporting Cristal,2:0,Rentistas,2021
25 de mayo,Avellaneda,Racing Club,3:0,Rentistas,2021
25 de mayo,São Paulo,São Paulo,3:0,Sporting Cristal,2021
20 de abril,Buenos Aires,Argentinos Juniors,2:0,Nacional,2021
22 de abril,Pereira,Atlético Nacional,2:0,Universidad Católica,2021
28 de abril,Montevideo,Nacional,4:4,Atlético Nacional,2021
29 de abril,Santiago,Universidad Católica,0:2,Argentinos Juniors,2021
5 de mayo,Santiago,Universidad Católica,3:1,Nacional,2021
6 de mayo,Asunción[n. 7]​,Atlético Nacional,0:2,Argentinos Juniors,2021
12 de mayo,Buenos Aires,Argentinos Juniors,0:1,Universidad Católica,2021
12 de mayo,Pereira,Atlético Nacional,0:0,Nacional,2021
18 de mayo,Montevideo,Nacional,1:0,Universidad Católica,2021
20 de mayo,Buenos Aires,Argentinos Juniors,1:0,Atlético Nacional,2021
26 de mayo,Santiago,Universidad Católica,2:0,Atlético Nacional,2021
26 de mayo,Montevideo,Nacional,2:0,Argentinos Juniors,2021
20 de abril,Buenos Aires,Vélez Sarsfield,2:3,Flamengo,2021
21 de abril,La Calera,Unión La Calera,2:2,Liga de Quito,2021
27 de abril,Río de Janeiro,Flamengo,4:1,Unión La Calera,2021
27 de abril,Quito,Liga de Quito,3:1,Vélez Sarsfield,2021
4 de mayo,La Calera,Unión La Calera,0:2,Vélez Sarsfield,2021
4 de mayo,Quito,Liga de Quito,2:3,Flamengo,2021
11 de mayo,La Calera,Unión La Calera,2:2,Flamengo,2021
13 de mayo,Buenos Aires,Vélez Sarsfield,3:1,Liga de Quito,2021
19 de mayo,Buenos Aires,Vélez Sarsfield,2:1,Unión La Calera,2021
19 de mayo,Río de Janeiro,Flamengo,2:2,Liga de Quito,2021
27 de mayo,Río de Janeiro,Flamengo,0:0,Vélez Sarsfield,2021
27 de mayo,Quito,Liga de Quito,5:2,Unión La Calera,2021
21 de abril,Caracas,Deportivo La Guaira,1:1,Atlético Mineiro,2021
21 de abril,Bucaramanga,América de Cali,0:2,Cerro Porteño,2021
27 de abril,Belo Horizonte,Atlético Mineiro,2:1,América de Cali,2021
28 de abril,Asunción,Cerro Porteño,0:0,Deportivo La Guaira,2021
4 de mayo,Belo Horizonte,Atlético Mineiro,4:0,Cerro Porteño,2021
6 de mayo,Caracas,Deportivo La Guaira,0:0,América de Cali,2021
