Fecha,Ubicacion,Local,Visitante,year,HomeGoals,AwayGoals
31 de mayo,Montevideo,Nacional,Independiente,1984,1,1
7 de junio,Santiago,Universidad Católica,Independiente,1984,0,0
26 de junio,Avellaneda,Independiente,Universidad Católica,1984,2,1
29 de junio,Montevideo,Nacional,Universidad Católica,1984,2,0
4 de julio,Avellaneda,Independiente,Nacional,1984,1,0
26 de junio,Porto Alegre,Gremio,Flamengo,1984,5,1
29 de junio,Caracas,Universidad de Los Andes,Flamengo,1984,0,3
3 de julio,Caracas,Universidad de Los Andes,Gremio,1984,0,2
6 de julio,Río de Janeiro,Flamengo,Gremio,1984,3,1
9 de julio,Porto Alegre,Gremio,Universidad de Los Andes,1984,6,1
12 de julio,Río de Janeiro,Flamengo,Universidad de Los Andes,1984,2,1
24 de julio,Porto Alegre,Gremio,Independiente,1984,0,1
27 de julio,Avellaneda,Independiente,Gremio,1984,0,0
23 de julio,Río de Janeiro,Fluminense,Vasco da Gama,1985,3,3
25 de julio,Buenos Aires,Argentinos Juniors,Ferro Carril Oeste,1985,0,1
2 de agosto,Río de Janeiro,Vasco da Gama,Argentinos Juniors,1985,1,2
5 de agosto,Río de Janeiro,Fluminense,Argentinos Juniors,1985,0,1
6 de agosto,Buenos Aires,Ferro Carril Oeste,Vasco da Gama,1985,2,0
9 de agosto,Buenos Aires,Argentinos Juniors,Vasco da Gama,1985,2,2
15 de agosto,Río de Janeiro,Vasco da Gama,Fluminense,1985,0,0
15 de agosto,Buenos Aires,Ferro Carril Oeste,Argentinos Juniors,1985,1,3
20 de agosto,Buenos Aires,Ferro Carril Oeste,Fluminense,1985,1,0
23 de agosto,Buenos Aires,Argentinos Juniors,Fluminense,1985,1,0
27 de agosto,Río de Janeiro,Fluminense,Ferro Carril Oeste,1985,0,0
30 de agosto,Río de Janeiro,Vasco da Gama,Ferro Carril Oeste,1985,0,2
10 de marzo,San Cristóbal,Deportivo Táchira,Deportivo Italia,1985,0,0
12 de marzo,Santa Cruz,Blooming,Oriente Petrolero,1985,1,1
17 de marzo,San Cristóbal,Deportivo Táchira,Oriente Petrolero,1985,1,1
17 de marzo,Caracas,Deportivo Italia,Blooming,1985,0,3
21 de marzo,Caracas,Deportivo Italia,Oriente Petrolero,1985,0,3
21 de marzo,San Cristóbal,Deportivo Táchira,Blooming,1985,0,1
24 de marzo,Caracas,Deportivo Italia,Deportivo Táchira,1985,1,3
28 de marzo,Santa Cruz,Oriente Petrolero,Blooming,1985,0,1
4 de abril,Santa Cruz,Oriente Petrolero,Deportivo Italia,1985,3,1
7 de abril,Santa Cruz,Blooming,Deportivo Italia,1985,8,0
11 de abril,Santa Cruz,Oriente Petrolero,Deportivo Táchira,1985,3,2
14 de abril,Santa Cruz,Blooming,Deportivo Táchira,1985,6,3
3 de marzo,Asunción,Guarani,Cerro Porteño,1985,0,0
6 de marzo,Cali,América de Cali,Millonarios,1985,0,0
12 de marzo,Asunción,Guarani,Millonarios,1985,2,0
14 de marzo,Asunción,Cerro Porteño,Millonarios,1985,0,0
19 de marzo,Asunción,Cerro Porteño,América de Cali,1985,0,0
21 de marzo,Asunción,Guarani,América de Cali,1985,1,1
27 de marzo,Asunción,Cerro Porteño,Guarani,1985,3,1
27 de marzo,Bogotá,Millonarios,América de Cali,1985,0,0
